GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
de.sven-torben.hystrix-jee:hystrix-jee,de.sven_torben.hystrix_jee,JeeHystrixConcurrencyStrategy,0,53,0,0,0,10,0,5,0,5
de.sven-torben.hystrix-jee:hystrix-jee,de.sven_torben.hystrix_jee,JeeHystrixWebListener,43,0,4,0,14,0,7,0,5,0
